"name","quantity","ilosc","description","photo_url","wysokosc","szerokosc","glebokosc","data_wyjazdu","stan","updatedat","linknadysk","category","updatedby","deviceid","stoisko"
"NM042","Ladowarka","1","NR:490025","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760524070/NM042_mvgobd.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1XxP_t9chT6ehVocQ3-7tAkessngGje68?usp=drive_link","NM",,,
"NM043","Szlifierka","1","NR:490025","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760524072/NM043_jthuhn.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1eOu_haHjwL1a-A-ma9zfYul892mJQSLX?usp=drive_link","NM",,,
"NM044","Frezarka","1","NS:2018\72108K","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760524074/NM044_amzmad.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1EJ6XFKmC-KK5G6IaXelqBqf6pto3ekmh?usp=drive_link","NM",,,
"NM045","Gwoździarka","1","Item-no: 071-018   batch nr:2279321\2022        NS:2279321\220829     (opakowanie ""CYTRYNA"")
  (stan niewiadomy)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760521272/IMG_0953_da2c0k.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1NY_HIjV_OsB1tv4HSoy0bMHkPIq1Ypzf?usp=drive_link","NM",,,
"NM048","Lutownica","1","model:SM-04-06LT200   SN:25042024 SMART","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760525556/NM048_dzglrd_hl1hvu.jpg",,,,,"Zajęta przez Beate na wyjazd w wrześniu 2026",,"https://drive.google.com/drive/folders/1B9iRKsnIrcVd8nX-vfADon6nS_LHrt_g?usp=drive_link","NM",,,
"NM049","Gwoździarka","1","SN:15858250920500051 YATO YT-09205","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760525399/NM049-50_htuwe7.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1vTVO3to9Osf_yqLYv2gNKriroeyCFVqw?usp=drive_link","NM",,,
"NM050","Gwoździarka","1","SN:15858250920500068 YATO YT-09205","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760525399/NM049-50_htuwe7.jpg",,,,,"Wolna",,,"NM",,,
"NM051","Gwoździarka","1","NS:2290516 2023  Stan nowy","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760525400/NM051_syf2oz.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1KsfoqHs_5F_iBlAiaIVnK5h6X8L4omlO?usp=drive_link","NM",,,
"TV40030","TCL 40' czarny Anglików","1","TCL 40' czarny Anglików ocena 4/5 Smart Netflix 
 Wymiary:
 Szerokość 91 cm
 Wysokość 52,5 cm
 Głębokość 9 cm (wraz z wieszakiem 6+3 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999421/TV40030_ncf9xs.jpg","52,5","91","9 cm (wraz z wieszakiem 6+3 cm)","*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/16r52fWTjp90ZQEZYzr88bltmapNBmRu8?usp=drive_link","Telewizory",,,
"TV43024","TV LG 43' czarny","1","TV LG 43' czarny ocena 3,5/5 stary bez Smart tylko USB 
 Wymiary:
 Szerokość 97,5 cm
 Wysokość 57,5 cm
 Głębokość 11 cm (wraz z wieszakiem 8,5+2,5 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999421/TV43024_z379jw.jpg","57,5","97,5","11 cm (wraz z wieszakiem 8,5+2,5 cm)","*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/14Yt8c6eXHbn9_Gd8NYopuVmwgsSfE7nr?usp=drive_link","Telewizory",,,
